energy	ratio_2_1	ratio_3_1	ratio_4_1	ratio_5_1	ratio_6_1	ratio_7_1
N	N	N	N	N	N	N
1.644	0.0336	0.1174	0.0235	0.03346	0.0174	0.01462
1.661	0.03236	0.1162	0.02264	0.03306	0.01676	0.01436
1.677	0.03129	0.1151	0.0221	0.03303	0.01637	0.01428
1.687	0.0307	0.1145	0.02168	0.03289	0.01606	0.01416
1.702	0.02981	0.1136	0.02094	0.0325	0.01552	0.01392
1.72	0.02867	0.1124	0.02019	0.0321	0.01496	0.01366
1.74	0.02751	0.1112	0.01946	0.03179	0.01443	0.01345
1.754	0.02675	0.1104	0.01898	0.0316	0.01407	0.01331
1.764	0.02621	0.1098	0.0186	0.03142	0.01379	0.01319
1.786	0.02506	0.1085	0.01775	0.03086	0.01316	0.01286
1.811	0.02387	0.1071	0.01697	0.03036	0.01258	0.01257
1.826	0.0232	0.1063	0.01651	0.03007	0.01224	0.0124
1.841	0.02249	0.1055	0.01608	0.02983	0.01192	0.01225
1.851	0.02196	0.1048	0.01572	0.02957	0.01166	0.01211
1.869	0.02113	0.1038	0.01523	0.02925	0.0113	0.01193
1.892	0.02009	0.1026	0.01468	0.02895	0.01089	0.01173
1.921	0.01898	0.1012	0.01406	0.02859	0.01043	0.01151
1.939	0.01832	0.1004	0.01368	0.02841	0.01015	0.01139
1.957	0.01767	0.09953	0.0133	0.02822	0.009864	0.01127
1.97	0.0172	0.09891	0.013	0.02806	0.009646	0.01117
1.995	0.01634	0.09779	0.01247	0.0277	0.009245	0.01096
2.016	0.01566	0.09687	0.01203	0.02738	0.008921	0.01078
2.035	0.01504	0.09603	0.01164	0.02711	0.008637	0.01063
2.051	0.01449	0.09529	0.0113	0.02695	0.008389	0.01053
2.065	0.01403	0.09465	0.01096	0.02688	0.008162	0.01048
2.08	0.01356	0.094	0.01061	0.02684	0.007926	0.01045
2.094	0.01309	0.09334	0.01035	0.02662	0.007727	0.01033
2.109	0.01261	0.09266	0.01008	0.0264	0.007522	0.01021
2.123	0.01211	0.09196	0.009794	0.0262	0.007309	0.0101
2.135	0.01169	0.09136	0.009546	0.02604	0.007126	0.01001
2.148	0.01125	0.09074	0.00929	0.02588	0.006936	0.009914
2.158	0.01089	0.09021	0.009075	0.02571	0.006777	0.009825
2.168	0.0105	0.08966	0.008883	0.02551	0.006627	0.009714
2.175	0.0102	0.08923	0.008729	0.02536	0.006508	0.009631
2.183	0.009882	0.08877	0.008564	0.02521	0.006381	0.00955
2.19	0.009538	0.08827	0.008382	0.02504	0.006242	0.009454
2.198	0.009156	0.08773	0.008177	0.02482	0.006085	0.009339
2.203	0.008867	0.08732	0.008041	0.0247	0.00598	0.009269
2.211	0.008389	0.08672	0.007824	0.02444	0.005811	0.009123
2.218	0.007873	0.0862	0.007685	0.0243	0.005696	0.009013
2.221	0.007701	0.08605	0.007634	0.02419	0.005654	0.008948
2.226	0.007449	0.08593	0.007518	0.02389	0.005558	0.008795
2.228	0.00723	0.08567	0.007441	0.02361	0.005495	0.008665
2.231	0.007002	0.08562	0.007577	0.024	0.005588	0.008783
2.234	0.006934	0.08589	0.007676	0.02417	0.005655	0.008819
2.236	0.006903	0.08605	0.007754	0.02398	0.005703	0.008724
2.239	0.006795	0.08616	0.007954	0.0242	0.00584	0.008776
2.241	0.006825	0.0866	0.00822	0.02455	0.006027	0.008879
2.246	0.007146	0.08758	0.008327	0.02384	0.006087	0.008581
2.252	0.007428	0.08822	0.008665	0.02405	0.006329	0.008653
2.254	0.007614	0.08859	0.008788	0.02399	0.006414	0.008631
2.257	0.007765	0.08882	0.008736	0.02379	0.006378	0.008563
2.262	0.00781	0.08891	0.008933	0.02404	0.00652	0.008657
2.267	0.007975	0.0893	0.009111	0.02411	0.006644	0.008675
2.27	0.008117	0.08953	0.009075	0.02391	0.006617	0.008605
2.275	0.008125	0.0895	0.009089	0.02389	0.006626	0.008599
2.283	0.008298	0.08991	0.009457	0.02425	0.006889	0.008728
2.288	0.008475	0.09015	0.009456	0.02417	0.00689	0.00871
2.291	0.008484	0.09012	0.009449	0.02413	0.006886	0.0087
2.294	0.008448	0.09004	0.00938	0.02406	0.006837	0.008673
2.296	0.008385	0.08994	0.009366	0.0241	0.006827	0.008689
2.299	0.008318	0.08985	0.009355	0.02413	0.006819	0.008696
2.307	0.008155	0.08971	0.009302	0.02406	0.006776	0.008648
2.312	0.008094	0.08967	0.009201	0.02381	0.006698	0.008537
2.317	0.007867	0.08948	0.009279	0.02385	0.006745	0.008518
2.32	0.007905	0.08965	0.009273	0.02372	0.006736	0.008456
2.323	0.007881	0.08968	0.009468	0.02388	0.006872	0.0085
2.325	0.007871	0.08979	0.009721	0.02418	0.00705	0.008597
2.328	0.008021	0.09014	0.009921	0.02431	0.007188	0.008632
2.333	0.008457	0.09087	0.01019	0.02412	0.007369	0.008551
2.339	0.008786	0.09137	0.01045	0.02417	0.007557	0.008576
2.342	0.008981	0.09163	0.01053	0.02409	0.007609	0.00855
2.35	0.009218	0.09195	0.01077	0.02426	0.007785	0.008628
2.366	0.009694	0.09261	0.01121	0.02451	0.008102	0.00874
2.371	0.01002	0.09303	0.0113	0.02441	0.008167	0.008715
2.374	0.01015	0.09319	0.01129	0.02433	0.008162	0.008692
2.38	0.01025	0.09328	0.01132	0.0244	0.008187	0.008739
2.388	0.01028	0.09332	0.01148	0.02463	0.008307	0.008836
2.396	0.01046	0.09355	0.01154	0.02464	0.008347	0.008847
2.418	0.01088	0.09407	0.01178	0.02477	0.008531	0.008929
2.427	0.01104	0.09425	0.01181	0.02479	0.00855	0.008954
2.435	0.01107	0.09426	0.01182	0.02485	0.008563	0.00899
2.449	0.0111	0.0943	0.01184	0.02491	0.00858	0.009021
2.458	0.01119	0.09442	0.01188	0.02493	0.008615	0.009033
2.466	0.01131	0.09455	0.01192	0.02495	0.008642	0.009053
2.483	0.01144	0.09471	0.01198	0.02504	0.008693	0.009105
2.495	0.01153	0.09481	0.01199	0.02508	0.008703	0.009134
2.506	0.01157	0.09483	0.01197	0.02514	0.008699	0.009171
2.523	0.01154	0.09478	0.01191	0.02516	0.008662	0.009186
2.532	0.01155	0.0948	0.01194	0.02522	0.008681	0.009211
2.544	0.01164	0.09491	0.01193	0.02529	0.008685	0.009254
2.55	0.01169	0.09495	0.01189	0.02535	0.008667	0.009292
2.556	0.0117	0.09496	0.01191	0.02529	0.008677	0.009265
2.576	0.01171	0.09494	0.01187	0.0253	0.008645	0.009281
2.594	0.01164	0.09481	0.01178	0.02529	0.008585	0.009283
2.606	0.01159	0.09474	0.01175	0.02531	0.008563	0.00929
2.615	0.0116	0.09475	0.01172	0.02529	0.00854	0.009285
2.621	0.01161	0.09476	0.01165	0.02522	0.00849	0.00926
2.627	0.0116	0.09472	0.01153	0.02514	0.008405	0.009229
2.636	0.01134	0.09437	0.01148	0.02505	0.008371	0.009188
2.645	0.01133	0.0944	0.01157	0.02516	0.008432	0.009226
2.661	0.01138	0.09445	0.01162	0.0253	0.008474	0.009288
2.679	0.01131	0.09435	0.01152	0.02529	0.008403	0.009289
2.707	0.01113	0.09409	0.01134	0.02521	0.008273	0.009253
2.713	0.01106	0.09399	0.01129	0.02519	0.008236	0.009242
2.723	0.01092	0.09379	0.01117	0.02512	0.008151	0.009205
2.732	0.01069	0.09351	0.01093	0.02488	0.007973	0.009092
2.738	0.01046	0.09323	0.01092	0.02488	0.007963	0.009075
2.742	0.01032	0.0931	0.01104	0.02506	0.008046	0.009131
2.745	0.0103	0.09319	0.01131	0.0253	0.008237	0.009206
2.748	0.01058	0.09362	0.01138	0.02512	0.008277	0.009128
2.751	0.0108	0.09391	0.01133	0.02487	0.008243	0.009037
2.761	0.01103	0.09418	0.01143	0.02485	0.008313	0.009042
2.773	0.01132	0.09457	0.0117	0.02511	0.008514	0.009162
2.777	0.01137	0.09462	0.0117	0.02505	0.008512	0.009145
2.783	0.01139	0.09462	0.01168	0.02509	0.008505	0.009168
2.793	0.01146	0.09472	0.01173	0.02512	0.008536	0.009185
2.802	0.01159	0.09485	0.01172	0.0251	0.008535	0.009191
2.815	0.01163	0.09488	0.01169	0.02514	0.008518	0.009219
2.828	0.01164	0.09488	0.01164	0.02512	0.008483	0.009217
2.844	0.0117	0.09491	0.0116	0.02498	0.008454	0.009171
2.864	0.0117	0.09488	0.01162	0.02506	0.008479	0.009218
2.884	0.01166	0.09481	0.01162	0.02521	0.008484	0.009286
2.911	0.01167	0.09478	0.01154	0.02524	0.008434	0.009313
2.948	0.01161	0.09463	0.01147	0.02527	0.008385	0.009339
3.02	0.01142	0.09424	0.01125	0.02534	0.008238	0.009386
3.09	0.01113	0.09373	0.011	0.02538	0.008065	0.009412
3.126	0.01091	0.09339	0.01086	0.02542	0.00797	0.009426
3.148	0.01071	0.09313	0.01084	0.02559	0.007956	0.009484
3.159	0.01076	0.09325	0.01081	0.0256	0.007938	0.009483
3.17	0.0108	0.09331	0.01073	0.02543	0.007878	0.009412
3.181	0.01086	0.09337	0.01068	0.02527	0.007837	0.009353
3.195	0.01086	0.09334	0.01067	0.02519	0.007833	0.009327
3.221	0.01086	0.09328	0.01065	0.02519	0.007818	0.009337
3.251	0.0108	0.09314	0.0106	0.02525	0.00779	0.00937
3.292	0.01068	0.09288	0.0105	0.02529	0.007717	0.009394
3.361	0.01045	0.09242	0.01028	0.02529	0.00757	0.0094
3.416	0.01018	0.09196	0.01015	0.02539	0.007475	0.009433
3.432	0.01012	0.09194	0.01015	0.02551	0.007473	0.009473
3.44	0.01018	0.09203	0.01009	0.02538	0.007428	0.00942
3.451	0.0102	0.09202	0.01001	0.02517	0.007376	0.009342
3.475	0.01019	0.09194	0.01001	0.02516	0.007376	0.009347
3.483	0.01017	0.09189	0.01005	0.02526	0.007402	0.009388
3.495	0.01015	0.09184	0.01002	0.02533	0.007383	0.00942
3.508	0.01013	0.09178	0.009924	0.0252	0.007316	0.009368
3.52	0.0101	0.0917	0.009878	0.02519	0.007284	0.009367
3.532	0.01007	0.09163	0.00989	0.02523	0.007294	0.009383
3.54	0.01005	0.09159	0.009904	0.02532	0.007306	0.009422
3.552	0.01002	0.09152	0.009881	0.0254	0.007292	0.009455
3.577	0.009957	0.09137	0.009772	0.02532	0.007213	0.009426
3.673	0.009686	0.09075	0.009455	0.02521	0.00699	0.009387
3.846	0.009187	0.08964	0.008951	0.02502	0.006632	0.009316
3.995	0.008772	0.08871	0.008549	0.02487	0.006347	0.009259
4.112	0.008463	0.088	0.008264	0.02476	0.006144	0.009212
4.212	0.008208	0.08742	0.008039	0.02468	0.005984	0.009182
4.227	0.008173	0.08734	0.008029	0.02473	0.005979	0.009203
4.236	0.00815	0.08729	0.008023	0.0248	0.005976	0.009227
4.251	0.008114	0.08721	0.007948	0.02475	0.005921	0.009208
4.271	0.008068	0.0871	0.007874	0.02456	0.005866	0.009133
4.29	0.008021	0.08699	0.007839	0.02454	0.005841	0.009124
4.421	0.007726	0.08631	0.007587	0.02446	0.005663	0.009093
4.634	0.007287	0.08528	0.007196	0.02432	0.00539	0.00904
4.87	0.006867	0.08429	0.006819	0.02419	0.005128	0.00899
5.076	0.006543	0.08352	0.006533	0.02412	0.004934	0.00897
5.242	0.006309	0.08295	0.006324	0.02412	0.004796	0.008978
5.272	0.006267	0.08287	0.006291	0.02411	0.004775	0.008977
5.327	0.006211	0.08272	0.006236	0.02414	0.00474	0.008991
5.578	0.005921	0.08199	0.005951	0.02418	0.004558	0.009031
5.788	0.005709	0.08145	0.005741	0.02418	0.00442	0.009052
5.902	0.0056	0.08117	0.005647	0.02424	0.00436	0.009086
5.936	0.005569	0.0811	0.005605	0.02419	0.004329	0.009069
5.957	0.005551	0.08105	0.005588	0.02417	0.004318	0.009063
6.012	0.005502	0.08093	0.005564	0.02426	0.004303	0.009102
6.237	0.005317	0.08046	0.005393	0.02428	0.004182	0.009134
6.615	0.00505	0.07978	0.005113	0.02446	0.003985	0.00926
6.934	0.004859	0.07932	0.00487	0.0248	0.003815	0.00947
7.161	0.004743	0.07902	0.004679	0.02502	0.003681	0.009622
7.311	0.004671	0.07884	0.004558	0.02518	0.003596	0.009731
7.371	0.004644	0.07877	0.004507	0.02525	0.00356	0.009782
7.7	0.004506	0.07841	0.004243	0.02561	0.003373	0.01004
7.925	0.004421	0.0782	0.004049	0.02591	0.003237	0.01025
8.072	0.00437	0.07807	0.00393	0.0261	0.003154	0.01039
8.222	0.004321	0.07795	0.003836	0.02623	0.003086	0.01049
8.385	0.00427	0.07782	0.003754	0.02633	0.003028	0.01056
8.551	0.004222	0.0777	0.003688	0.0264	0.002981	0.01062
8.74	0.00417	0.07757	0.003628	0.02645	0.002937	0.01066
8.995	0.004106	0.07741	0.003568	0.02647	0.002892	0.01068
9.333	0.004028	0.07721	0.003511	0.02646	0.002849	0.01069
9.605	0.003972	0.07708	0.003476	0.02643	0.002821	0.01068
9.908	0.003914	0.07693	0.003444	0.0264	0.002796	0.01067
10	0.003897	0.07689	0.003436	0.02638	0.00279	0.01066
